pi,ti,ci,zi,ni,div,div2,pos_min,min_ac,1st_min
0,12,1,2,2,0.14124759824780647,0.1738100484048004,0.9915254237288136,0.9299747076483332,0.4957627118644068
0,12,1,2,3,0.08358246961258425,0.05697851212383499,0.8151260504201681,0.9659348758301652,0.1134453781512605
0,13,1,0,0,0.10765273235501639,0.10608692862384932,0.9916666666666667,0.946622186873971,0.4166666666666667
0,13,1,0,1,0.20714413064128387,0.010237476109002856,0.3706896551724138,0.9616069068207965,0.1853448275862069
0,13,1,0,2,0.14334163905625297,0.16271764748889592,0.9322033898305084,0.9331882190839499,0.4661016949152542
0,13,1,0,3,0.1112071873085372,0.06608348177243985,0.8151260504201681,0.9546760623154281,0.09663865546218488
0,13,1,1,0,0.09557454913195434,0.09962715492125629,0.9916666666666667,0.9526109527220726,0.49583333333333335
0,13,1,1,1,0.18860408242837864,0.009523909011217831,0.3706896551724138,0.9650432088602574,0.1853448275862069
0,13,1,1,2,0.13496133680246655,0.1644484793797402,0.9915254237288136,0.9330912016699636,0.4957627118644068
0,13,1,1,3,0.10364001940524886,0.0640937110102803,0.8151260504201681,0.957760160158365,0.10084033613445378
0,13,1,2,0,0.07981816533822518,0.08769153439960269,0.9916666666666667,0.9604234930197967,0.49583333333333335
0,13,1,2,1,0.15565349774543916,0.007044712897580279,0.3706896551724138,0.9711504292971815,0.1853448275862069
0,13,1,2,2,0.13650711017237027,0.16721299798028336,0.9915254237288136,0.9323248648721724,0.4957627118644068
0,13,1,2,3,0.08852267084354737,0.06363093431834538,0.8235294117647058,0.9635494884761864,0.1134453781512605
0,14,1,0,0,0.09865453450643132,0.09485146032572876,0.9916666666666667,0.9510837933072278,0.4125
0,14,1,0,1,0.18824382252080127,0.010887315538677406,0.3706896551724138,0.9651099811707136,0.1853448275862069
0,14,1,0,2,0.13788279774362402,0.16448908157473052,0.9915254237288136,0.9316428502711694,0.4957627118644068
0,14,1,0,3,0.1172488618426779,0.07308602157220909,0.8319327731092437,0.9512284146116592,0.09663865546218488
0,14,1,1,0,0.08908853540579635,0.09114576819858411,0.9916666666666667,0.9558269345279593,0.49583333333333335
0,14,1,1,1,0.18610240478740026,0.01015775633194371,0.35344827586206895,0.9671112129470543,0.17672413793103448
0,14,1,1,2,0.1380433886959505,0.16724054884543302,0.9915254237288136,0.9315632352651432,0.4957627118644068
0,14,1,1,3,0.11065663054961523,0.07334202434398727,0.8319327731092437,0.9539705612419668,0.10084033613445378
0,14,1,2,0,0.0742896861840529,0.08034168446687547,0.9916666666666667,0.9631646972670738,0.3625
0,14,1,2,1,0.14672096168909185,0.007517524681595513,0.3706896551724138,0.9728060286524528,0.1853448275862069
0,14,1,2,2,0.1383815639789613,0.1691068090285097,0.9915254237288136,0.9313955805697522,0.4957627118644068
0,14,1,2,3,0.0924437682227952,0.07111106864336376,0.8403361344537815,0.9611580805786575,0.12184873949579832
0,15,1,0,0,0.0918100902597663,0.0864029308857705,0.9916666666666667,0.9544774969128659,0.4083333333333333
0,15,1,0,1,0.18107644527924643,0.01107683601766598,0.33620689655172414,0.9695604251470232,0.16810344827586207
0,15,1,0,2,0.13736169768345116,0.16406211064550824,0.9915254237288136,0.9319011922501534,0.4957627118644068
0,15,1,0,3,0.12042053006605884,0.08868991826529991,0.8487394957983193,0.9488971700139834,0.10504201680672269
0,15,1,1,0,0.08242590137763829,0.08326188159551853,0.9916666666666667,0.959130490566921,0.36666666666666664
0,15,1,1,1,0.16488765265610889,0.010072983974918471,0.3448275862068966,0.9715710943696364,0.1724137931034483
0,15,1,1,2,0.1383615073202569,0.1665605723073071,0.9915254237288136,0.9314055239132625,0.4957627118644068
0,15,1,1,3,0.11199577909987939,0.08703848859840006,0.8571428571428571,0.9520018089571946,0.12184873949579832
0,15,1,2,0,0.06741529420167967,0.07235262601461136,0.9916666666666667,0.9665732499583338,0.3541666666666667
0,15,1,2,1,0.13306714216816776,0.007859783030118712,0.3706896551724138,0.9753366934774517,0.1853448275862069
0,15,1,2,2,0.14042211810000793,0.17129956396671533,0.9915254237288136,0.9303839499249961,0.4957627118644068
0,15,1,2,3,0.09574031303508004,0.08486191772552389,0.8823529411764706,0.9577616266021706,0.4411764705882353
0,16,1,0,0,0.08398717948833721,0.07829361951522898,0.9916666666666667,0.9583563568370328,0.37916666666666665
0,16,1,0,1,0.1579650046330457,0.012112922427175479,0.3448275862068966,0.9727646543736128,0.1724137931034483
0,16,1,0,2,0.1410725605658029,0.1677237299155015,0.9915254237288136,0.9300614848042418,0.4957627118644068
0,16,1,0,3,0.11167585125137776,0.10625363038428626,0.9663865546218487,0.9460389794373595,0.42857142857142855
0,16,1,1,0,0.0745413609922263,0.07422919126244933,0.9916666666666667,0.9630399085080211,0.3625
0,16,1,1,1,0.1424362248934686,0.011239586445220716,0.3620689655172414,0.9742141317003203,0.1810344827586207
0,16,1,1,2,0.14104994131198226,0.16957395055719754,0.9915254237288136,0.9300726985868563,0.4957627118644068
0,16,1,1,3,0.1034482944702537,0.10264152731152609,0.9915966386554622,0.948710509464328,0.4957983193277311
