pi,ti,zi,ni,n1,n2,ns1,ns2,Nsecs,xpos
1,24,0,1,275,0,0,1,1,0,274
1,24,0,2,277,0,0,1,1,0,276
1,25,0,0,287,0,0,1,1,0,286
1,25,0,1,275,0,0,1,1,0,274
1,25,0,2,277,0,0,1,1,0,276
1,26,0,0,287,0,0,1,1,0,286
1,26,0,1,275,0,0,1,1,0,274
1,26,0,2,277,0,0,1,1,0,276
1,27,0,0,287,0,0,1,1,0,286
1,27,0,1,275,0,0,1,1,0,274
1,27,0,2,277,0,0,1,1,0,276
1,28,0,0,287,0,0,1,1,0,286
1,28,0,1,275,0,0,1,1,0,274
1,28,0,2,277,0,0,1,1,0,276
1,29,0,0,287,0,0,1,1,0,286
1,29,0,1,275,0,0,1,1,0,274
1,29,0,2,277,0,0,1,1,0,276
1,30,0,0,287,0,0,1,1,0,286
1,30,0,1,275,0,0,1,1,0,274
1,30,0,2,277,0,0,1,1,0,276
1,31,0,0,287,0,0,1,1,0,286
1,31,0,1,275,0,0,1,1,0,274
1,31,0,2,277,0,0,1,1,0,276
1,32,0,0,287,0,0,1,1,0,286
1,32,0,1,275,0,0,1,1,0,274
1,32,0,2,277,0,0,1,1,0,276
1,33,0,0,287,0,0,1,1,0,286
1,33,0,1,275,0,0,1,1,0,274
1,33,0,2,277,0,0,1,1,0,276
1,34,0,0,287,0,0,1,1,0,286
1,34,0,1,275,0,0,1,1,0,274
1,34,0,2,277,0,0,1,1,0,276
1,35,0,0,287,0,0,1,1,0,286
1,35,0,1,275,0,0,1,1,0,274
1,35,0,2,277,0,0,1,1,0,276
1,36,0,0,287,0,0,1,1,0,286
1,36,0,1,275,0,0,1,1,0,274
1,36,0,2,277,0,0,1,1,0,276
1,37,0,0,287,0,0,1,1,0,286
1,37,0,1,275,0,0,1,1,0,274
1,37,0,2,277,0,0,1,1,0,276
1,38,0,0,287,0,0,1,1,0,286
1,38,0,1,275,0,0,1,1,0,274
1,38,0,2,277,0,0,1,1,0,276
1,39,0,0,287,0,0,1,1,0,286
1,39,0,1,275,0,0,1,1,0,274
1,39,0,2,277,0,0,1,1,0,276
1,40,0,0,287,0,0,1,1,0,286
1,40,0,1,275,0,0,1,1,0,274
1,40,0,2,277,0,0,1,1,0,276
1,41,0,0,287,0,0,1,1,0,286
1,41,0,1,275,0,0,1,1,0,274
1,41,0,2,277,0,0,1,1,0,276
1,42,0,0,287,0,0,1,1,0,286
1,42,0,1,275,0,0,1,1,0,274
1,42,0,2,277,0,0,1,1,0,276
2,0,0,0,283,0,0,1,1,0,282
2,0,0,1,281,0,0,1,1,0,280
2,0,0,2,289,0,0,1,1,0,288
2,1,0,0,283,0,0,1,1,0,282
2,1,0,1,281,0,0,1,1,0,280
2,1,0,2,289,0,0,1,1,0,288
2,2,0,0,283,0,0,1,1,0,282
2,2,0,1,281,0,0,1,1,0,280
2,2,0,2,289,0,0,1,1,0,288
2,3,0,0,283,0,0,1,1,0,282
2,3,0,1,281,0,0,1,1,0,280
